SYMBOL,ENTREZID,GENENAME,logFC,AveExpr,t,P.Value,adj.P.Val,B
TFCP2,7024,transcription factor CP2,-1.028657293,5.939196438,-4.65799886,2.29E-05,0.000354461,2.460354934
TIAM1,7074,TIAM Rac1 associated GEF 1,-1.458838899,5.260614117,-3.709533202,0.000510277,0.00362667,-0.469239757
TIMP2,7077,TIMP metallopeptidase inhibitor 2,-1.158896144,7.89230178,-2.758275319,0.008027453,0.027935774,-3.004300933
TOP1,7150,DNA topoisomerase I,-1.049664405,8.437710085,-3.886049945,0.000292947,0.002332176,0.050573627
TOP2A,7153,DNA topoisomerase II alpha,-1.056939354,4.964971265,-3.09416978,0.003189134,0.014089085,-2.166000651
TOP2B,7155,DNA topoisomerase II beta,-1.397285633,6.785541862,-4.223531081,9.83E-05,0.001016554,1.079067807
TP53,7157,tumor protein p53,-1.130714142,6.375322503,-4.612385401,2.68E-05,0.000402117,2.312692105
TP53BP1,7158,tumor protein p53 binding protein 1,-1.03283701,5.814033822,-4.313931359,7.29E-05,0.000828711,1.361566411
TPP2,7174,tripeptidyl peptidase 2,-1.493986806,6.79908637,-4.903304283,9.85E-06,0.00018996,3.263762774
TRIO,7204,trio Rho guanine nucleotide exchange factor,-1.235128435,5.740710497,-4.064997498,0.000164974,0.001507192,0.590576632
TTC3,7267,tetratricopeptide repeat domain 3,-1.397796793,7.118663278,-4.772867188,1.55E-05,0.000262663,2.83467867
TXN,7295,thioredoxin,1.302779654,9.772171353,4.524768076,3.60E-05,0.000492347,2.030692452
UGDH,7358,UDP-glucose 6-dehydrogenase,-1.007858435,6.457570582,-3.944998224,0.000242763,0.002025712,0.227063663
VCAM1,7412,vascular cell adhesion molecule 1,-2.647108974,6.243029436,-4.041594163,0.000177952,0.001607036,0.519246077
WNT5A,7474,Wnt family member 5A,1.23893116,5.488888305,3.02362666,0.00389036,0.016395456,-2.347645423
WRN,7486,WRN RecQ like helicase,-1.049803429,5.052705316,-4.563105935,3.16E-05,0.000452192,2.153813715
XPO1,7514,exportin 1,-1.085688671,7.051034291,-3.690555477,0.000541263,0.003806639,-0.524321193
ZNF711,7552,zinc finger protein 711,1.476142735,5.602570148,3.42464441,0.001217209,0.007001186,-1.278520379
ZNF33A,7581,zinc finger protein 33A,-1.149620313,5.365684893,-4.262833901,8.64E-05,0.000929794,1.201547914
ZKSCAN1,7586,zinc finger with KRAB and SCAN domains 1,-1.068562076,6.066953178,-4.643352866,2.41E-05,0.000370172,2.412879727
ZNF43,7594,zinc finger protein 43,-1.055764165,3.123715369,-4.152717952,0.000124007,0.001225513,0.859750482
ZNF75A,7627,zinc finger protein 75a,-1.058756501,5.198422024,-4.991427251,7.25E-06,0.000155049,3.555904775
ZNF91,7644,zinc finger protein 91,-1.422969395,6.922757528,-3.087421501,0.003250701,0.014307343,-2.18350075
ZNF141,7700,zinc finger protein 141,-1.647443519,5.146300248,-5.617123756,7.93E-07,3.36E-05,5.673115384
ZNF146,7705,zinc finger protein 146,-1.174158992,5.964564213,-3.564204241,0.000798459,0.005097351,-0.886868377
ZMYM2,7750,zinc finger MYM-type containing 2,-1.086755833,6.416739792,-3.918863769,0.000263894,0.002139285,0.148644393
ZNF208,7757,zinc finger protein 208,-1.023591147,4.654007352,-5.231485963,3.13E-06,8.31E-05,4.360038922
ZNF217,7764,zinc finger protein 217,-1.093646448,7.618071323,-2.928187096,0.00507,0.020012039,-2.588760577
PLA2G7,7941,phospholipase A2 group VII,-1.865543903,4.757433547,-4.067139704,0.000163833,0.001499679,0.597116141
CCDC6,8030,coiled-coil domain containing 6,1.17655968,8.829639929,2.697002237,0.00943752,0.031336297,-3.149682287
SSPN,8082,sarcospan,-1.736696986,6.774882085,-6.68904289,1.63E-08,2.13E-06,9.405192582
AAAS,8086,aladin WD repeat nucleoporin,-1.131739362,6.765845948,-5.420499656,1.60E-06,5.42E-05,5.00070979
NCOA3,8202,nuclear receptor coactivator 3,-1.083002595,9.123984785,-2.661681273,0.010350319,0.033423645,-3.232379855
SMC1A,8243,structural maintenance of chromosomes 1A,-1.282642681,6.243075356,-5.183513173,3.70E-06,9.46E-05,4.198435574
USP9Y,8287,ubiquitin specific peptidase 9 Y-linked,-1.216061248,3.980780464,-4.18072582,0.000113145,0.001135065,0.946282508
H2AC6,8334,H2A clustered histone 6,1.340441964,9.117742834,4.332117418,6.86E-05,0.000795516,1.418727839
H2BC14,8342,H2B clustered histone 14,-1.136931936,8.18254215,-2.795368516,0.007270954,0.026054713,-2.915122745
H2BC4,8347,H2B clustered histone 4,1.130780545,7.998364864,3.499570417,0.000971649,0.005937156,-1.069431423
H2BC21,8349,H2B clustered histone 21,1.677169472,8.511612025,4.421672611,5.09E-05,0.000635434,1.701770682
PIP5K1B,8395,phosphatidylinositol-4-phosphate 5-kinase type 1 beta,-1.527621404,6.74273961,-3.59653061,0.000723311,0.004720817,-0.794815317
TAGLN2,8407,transgelin 2,1.01538148,7.683636468,3.356702277,0.001489936,0.008104217,-1.465689539
EEA1,8411,early endosome antigen 1,-1.742523745,4.862294938,-6.57002811,2.51E-08,2.77E-06,8.987640591
STX7,8417,syntaxin 7,-1.422444585,6.322090234,-4.283063325,8.08E-05,0.000890013,1.26479438
NSMAF,8439,neutral sphingomyelinase activation associated factor,-1.324857249,5.821924827,-4.130555251,0.000133312,0.001281028,0.791477173
PEX3,8504,peroxisomal biogenesis factor 3,-1.248205025,4.428743763,-5.060336855,5.70E-06,0.000125953,3.785537621
ITGA8,8516,integrin subunit alpha 8,-2.04142868,6.932651501,-2.955187975,0.004706269,0.018992295,-2.521096235
IFITM1,8519,interferon induced transmembrane protein 1,2.380331475,9.695821912,4.401718117,5.44E-05,0.00066693,1.638483038
BLZF1,8548,basic leucine zipper nuclear factor 1,-1.422465862,6.309175335,-5.026852003,6.41E-06,0.00013962,3.673827108
USO1,8615,USO1 vesicle transport factor,-1.789930297,8.424837022,-4.820503657,1.31E-05,0.000232004,2.990903758
RTCA,8634,RNA 3'-terminal phosphate cyclase,-1.300782112,7.326551488,-4.794369239,1.44E-05,0.000249181,2.905125337
CDC23,8697,cell division cycle 23,-1.079251019,6.159780686,-4.615777617,2.64E-05,0.000399467,2.323653837
SNX4,8723,sorting nexin 4,-1.155842079,6.569531884,-4.635198966,2.48E-05,0.000378126,2.386474138
GBF1,8729,golgi brefeldin A resistant guanine nucleotide exchange factor 1,-1.453652367,7.168918079,-5.751100382,4.90E-07,2.40E-05,6.134249558
SUCLA2,8803,succinate-CoA ligase ADP-forming beta subunit,-1.579149541,5.855199236,-6.421910663,4.31E-08,3.98E-06,8.468569117
GGH,8836,gamma-glutamyl hydrolase,1.315505441,6.944363727,2.549743494,0.013802844,0.041763588,-3.48899225
HCAR3,8843,hydroxycarboxylic acid receptor 3,1.398134529,4.722790977,2.748680402,0.008234614,0.028509095,-3.027226102
KAT2B,8850,lysine acetyltransferase 2B,-1.10122052,7.93459094,-3.681512926,0.000556654,0.003880083,-0.55050986
CDC16,8881,cell division cycle 16,-1.547382166,6.207645929,-5.706722506,5.75E-07,2.68E-05,5.981262851
HERC3,8916,HECT and RLD domain containing E3 ubiquitin protein ligase 3,-1.407732365,5.752739634,-4.465580086,4.39E-05,0.000564875,1.841462123
SKAP2,8935,src kinase associated phosphoprotein 2,-1.656957594,6.37740053,-4.575638434,3.03E-05,0.000438061,2.194153547
LIMD1,8994,LIM domains containing 1,-1.315243317,6.960577056,-4.498927342,3.93E-05,0.000520549,1.947948292
BAZ1B,9031,bromodomain adjacent to zinc finger domain 1B,-1.045427847,7.071084105,-5.003621967,6.95E-06,0.000149418,3.596468116
ASH2L,9070,ASH2 like  histone lysine methyltransferase complex subunit,-1.398161289,7.072815253,-5.46340812,1.37E-06,4.86E-05,5.146963582
RABEP1,9135,rabaptin  RAB GTPase binding effector protein 1,-1.240878847,6.601833705,-5.648837504,7.08E-07,3.11E-05,5.782069286
NEMF,9147,nuclear export mediator factor,-1.240684752,6.027045104,-5.015618368,6.67E-06,0.000144533,3.636403203
TMSB10,9168,thymosin beta 10,1.204811692,10.45482761,5.278097871,2.65E-06,7.43E-05,4.517461439
MAP3K13,9175,mitogen-activated protein kinase kinase kinase 13,-1.132779026,5.593789488,-4.018309541,0.000191842,0.001706272,0.44848402
DDX21,9188,DExD-box helicase 21,1.044942234,9.040574697,3.943908327,0.00024361,0.002028648,0.223787844
SLC33A1,9197,solute carrier family 33 member 1,-1.324612247,7.904831287,-4.502752417,3.88E-05,0.000516792,1.960184021
LRRFIP1,9208,LRR binding FLII interacting protein 1,1.554192917,7.356188194,3.797801245,0.000387192,0.002919453,-0.210967325
COPB2,9276,coatomer protein complex subunit beta 2,-1.526615314,7.910021492,-4.542693026,3.39E-05,0.000475858,2.088204946
PTER,9317,phosphotriesterase related,-1.256794825,5.911321338,-5.995771379,2.03E-07,1.27E-05,6.981496205
TRIP12,9320,thyroid hormone receptor interactor 12,-1.014495191,7.596456983,-3.971395458,0.000223081,0.001904895,0.306547726
TRIP11,9321,thyroid hormone receptor interactor 11,-2.504162388,5.17519166,-7.640368298,5.06E-10,2.17E-07,12.74100466
GTF3C4,9329,general transcription factor IIIC subunit 4,1.279088525,7.110165483,4.371689878,6.02E-05,0.000711337,1.543482233
ABCG2,9429,ATP binding cassette subfamily G member 2 (Junior blood group),-2.328844291,5.205561089,-5.233569171,3.10E-06,8.29E-05,4.367066166
MED23,9439,mediator complex subunit 23,-1.064048685,6.093691232,-3.813214939,0.000368858,0.002817334,-0.165521925
ROCK2,9475,Rho associated coiled-coil containing protein kinase 2,-1.913202756,5.971746933,-6.890225694,7.81E-09,1.27E-06,10.11153412
ZNF254,9534,zinc finger protein 254,-1.035753386,4.741678535,-3.999076981,0.0002041,0.001788853,0.390193347
MINPP1,9562,multiple inositol-polyphosphate phosphatase 1,-2.347034598,6.35665305,-6.380673398,5.01E-08,4.45E-06,8.324207101
CLOCK,9575,clock circadian regulator,-1.031582865,5.807367478,-3.537349201,0.000866502,0.00542862,-0.962965535
PREPL,9581,prolyl endopeptidase like,-1.969714876,6.468972799,-5.097086428,5.01E-06,0.000114512,3.908407822
ENTPD4,9583,ectonucleoside triphosphate diphosphohydrolase 4,-1.083341968,8.042227804,-4.442473791,4.75E-05,0.000602222,1.767875626
AKAP12,9590,A-kinase anchoring protein 12,-1.529550953,5.521923257,-5.81242298,3.93E-07,2.08E-05,6.346020453
CTR9,9646,CTR9 homolog  Paf1/RNA polymerase II complex component,-1.208103838,7.646915292,-4.387317354,5.71E-05,0.000683781,1.592887401
GCC2,9648,GRIP and coiled-coil domain containing 2,-1.381681368,7.070741706,-5.246286444,2.97E-06,8.07E-05,4.409982232
TTC37,9652,tetratricopeptide repeat domain 37,-1.085246222,6.880938297,-3.143849884,0.00276844,0.012585036,-2.036373275
IQCB1,9657,IQ motif containing B1,-1.136795329,7.359055808,-3.454137265,0.001114227,0.00656125,-1.196548551
PDE4DIP,9659,phosphodiesterase 4D interacting protein,-1.376008023,7.306533432,-4.089543693,0.000152348,0.001416596,0.665611635
MARF1,9665,meiosis regulator and mRNA stability factor 1,-1.195615783,7.273491369,-4.047162889,0.000174778,0.0015814,0.536200092
EIF5B,9669,eukaryotic translation initiation factor 5B,-1.264660362,7.28468129,-4.708450465,1.93E-05,0.000310594,2.62433664
EMC2,9694,ER membrane protein complex subunit 2,-1.652486738,6.207375126,-5.344249864,2.10E-06,6.37E-05,4.74153129
EDEM1,9695,ER degradation enhancing alpha-mannosidase like protein 1,-1.412155153,7.945741551,-5.488370312,1.26E-06,4.58E-05,5.23217609
TRAM2,9697,translocation associated membrane protein 2,-1.193536327,8.024393034,-4.200834526,0.000105922,0.001076374,1.008581291
USP6NL,9712,USP6 N-terminal like,-1.083809148,6.627529107,-2.810628811,0.00697929,0.025455471,-2.878181853
AQR,9716,aquarius intron-binding spliceosomal factor,-1.011336868,6.667732269,-4.228870588,9.66E-05,0.001006428,1.095676227
KNTC1,9735,kinetochore associated 1,-1.003371257,6.25183177,-3.297397605,0.00177445,0.009194701,-1.627122604
MLEC,9761,malectin,-1.238478967,7.685355838,-4.370545111,6.04E-05,0.000712268,1.539866197
KIAA0586,9786,KIAA0586,-1.308079924,5.136510686,-5.791115371,4.25E-07,2.13E-05,6.272389786
CKAP5,9793,cytoskeleton associated protein 5,-1.281883873,5.94557742,-4.913066571,9.52E-06,0.000186698,3.296039615
EFCAB14,9813,EF-hand calcium binding domain 14,-1.277338319,7.643615604,-5.651797942,7.01E-07,3.11E-05,5.792246589
FAM30A,9834,family with sequence similarity 30 member A,-2.08598772,4.951637543,-5.303920659,2.42E-06,6.94E-05,4.60483869
C2CD5,9847,C2 calcium dependent domain containing 5,-1.632152393,5.847213977,-7.120034025,3.37E-09,8.35E-07,10.91842087
ZNF518A,9849,zinc finger protein 518A,-1.163300539,4.928940921,-4.718236977,1.86E-05,0.000302135,2.656223661
MAGI2,9863,membrane associated guanylate kinase  WW and PDZ domain containing 2,1.210633336,5.663393951,2.609544032,0.011846055,0.037231588,-3.352945976
FCHSD2,9873,FCH and double SH3 domains 2,-1.505074879,8.099506748,-3.516823223,0.000922204,0.005716695,-1.020896024
TRANK1,9881,tetratricopeptide repeat and ankyrin repeat containing 1,-2.151379864,5.998453926,-5.552873982,9.98E-07,3.88E-05,5.452791485
NCAPD2,9918,non-SMC condensin I complex subunit D2,-1.662234079,6.163068884,-6.303845974,6.63E-08,5.47E-06,8.055467565
GOLGA5,9950,golgin A5,-1.444431062,6.657798736,-5.173084677,3.84E-06,9.71E-05,4.163362924
CASP8AP2,9994,caspase 8 associated protein 2,-1.016292739,5.176421217,-4.579410094,2.99E-05,0.000434487,2.20630261
AKT3,10000,AKT serine/threonine kinase 3,-1.462100648,4.252762412,-3.839952928,0.000339018,0.002636495,-0.086449749
HUWE1,10075,HECT  UBA and WWE domain containing E3 ubiquitin protein ligase 1,-1.022048856,7.017033917,-4.161157063,0.000120631,0.001194886,0.885794126
RAD50,10111,RAD50 double strand break repair protein,-1.355363437,6.28230088,-4.727194905,1.81E-05,0.000297391,2.685432875
PREB,10113,prolactin regulatory element binding,-1.346536586,7.80403519,-4.821228079,1.31E-05,0.000232004,2.993283853
NAMPT,10135,nicotinamide phosphoribosyltransferase,1.228458294,10.86995227,3.222862232,0.002205179,0.010646958,-1.827380153
PATJ,10207,PATJ crumbs cell polarity complex component,-1.641969898,5.037632873,-6.519681727,3.02E-08,3.09E-06,8.811118443
MRPS31,10240,mitochondrial ribosomal protein S31,-1.104603915,6.045245649,-4.356845722,6.32E-05,0.000741822,1.496625859
STAM2,10254,signal transducing adaptor molecule 2,-1.091021066,6.02524362,-4.809671114,1.36E-05,0.000239034,2.955328718
UBE4B,10277,ubiquitination factor E4B,-1.237545179,6.798516096,-5.144589958,4.24E-06,0.000102402,4.06763735
TLR6,10333,toll like receptor 6,-1.01464269,7.097478932,-2.799756822,0.007185949,0.02592783,-2.904514904
CEPT1,10390,choline/ethanolamine phosphotransferase 1,-1.355550085,6.478490165,-4.600178822,2.79E-05,0.00041367,2.273273896
ATP8A1,10396,ATPase phospholipid transporting 8A1,-1.245871455,5.955160859,-4.14240145,0.000128257,0.001251969,0.827947887
TMEM147,10430,transmembrane protein 147,1.214856065,9.038410735,3.765759882,0.000428148,0.003147558,-0.305112011
N4BP2L2,10443,NEDD4 binding protein 2 like 2,-1.01617184,6.81263817,-3.51275238,0.00093365,0.005759339,-1.032361061
MERTK,10461,MER proto-oncogene  tyrosine kinase,-1.124841755,7.848754275,-2.532421447,0.01442218,0.04316562,-3.527946808
PIBF1,10464,progesterone immunomodulatory binding factor 1,-1.35107388,3.630019323,-5.999055311,2.00E-07,1.27E-05,6.992906667
SEC23B,10483,SEC23 homolog B  coat complex II component,-1.63366617,8.172978649,-5.531124381,1.08E-06,4.09E-05,5.378336954
ENOX2,10495,ecto-NOX disulfide-thiol exchanger 2,-1.006789878,5.450510697,-4.870775699,1.10E-05,0.000201903,3.156374478
APPBP2,10513,amyloid beta precursor protein binding protein 2,-1.616184942,6.281293689,-5.192145604,3.59E-06,9.28E-05,4.227483403
DDX17,10521,DEAD-box helicase 17,-1.592944091,8.677254075,-5.314116214,2.33E-06,6.86E-05,4.639369521
IPO8,10526,importin 8,-1.35727535,6.411341605,-4.883502825,1.06E-05,0.000196989,3.198361643
ARFGEF2,10564,ADP ribosylation factor guanine nucleotide exchange factor 2,-1.002641126,7.29233813,-3.778030151,0.000411995,0.003072005,-0.269111411
ERLIN1,10613,ER lipid raft associated 1,-1.142355098,6.398674282,-2.80869139,0.00701571,0.025548696,-2.882879923
EXOC5,10640,exocyst complex component 5,-1.593167541,6.467596114,-4.508961916,3.80E-05,0.000510421,1.980056357
AHCYL1,10768,adenosylhomocysteinase like 1,-1.167526584,6.564854706,-4.717517544,1.87E-05,0.000302135,2.653878705
ZMYND11,10771,zinc finger MYND-type containing 11,-1.09209213,6.832646532,-4.528228229,3.56E-05,0.000492347,2.041787095
SEC24A,10802,SEC24 homolog A  COPII coat complex component,-1.529623541,8.38753599,-6.097370885,1.40E-07,9.51E-06,7.334929162
GJB6,10804,gap junction protein beta 6,1.263516844,6.058581763,2.859137492,0.006122472,0.023008171,-2.759788595
FAM114A2,10827,family with sequence similarity 114 member A2,-1.106545152,6.356359425,-4.099922648,0.000147296,0.001386051,0.697406403
ZNF275,10838,zinc finger protein 275,-1.105385181,7.643647849,-3.222682154,0.00220633,0.010646958,-1.827860362
ADAM28,10863,ADAM metallopeptidase domain 28,-1.172887084,6.591990449,-2.488143064,0.01612157,0.047230377,-3.626585587
ARID5A,10865,AT-rich interaction domain 5A,1.135143105,7.295417077,3.228357633,0.002170323,0.010516342,-1.812717291
EHD1,10938,EH domain containing 1,1.106008219,7.291343003,2.518836163,0.014925443,0.044361473,-3.558354267
ASCC3,10973,activating signal cointegrator 1 complex subunit 3,-1.020660796,6.181348947,-3.491762026,0.000994849,0.006039694,-1.091350402
SLC27A2,11001,solute carrier family 27 member 2,-1.273483159,3.989786788,-3.549938782,0.000833942,0.005259646,-0.927334094
BTN3A2,11118,butyrophilin subfamily 3 member A2,-1.120204815,7.714452058,-3.351007276,0.001515257,0.008213459,-1.48127119
BTN3A1,11119,butyrophilin subfamily 3 member A1,-1.427210361,7.707408983,-4.627448677,2.54E-05,0.000386978,2.361392547
PLAAT3,11145,phospholipase A and acyltransferase 3,1.024486279,7.728469564,3.481464207,0.001026252,0.00619743,-1.120211989
SEC23IP,11196,SEC23 interacting protein,-1.843213463,6.774963876,-7.069662086,4.06E-09,8.96E-07,10.7415992
DUSP10,11221,dual specificity phosphatase 10,2.39723278,6.683026184,4.286882036,7.98E-05,0.000885375,1.27674889
RPL35,11224,ribosomal protein L35,1.43440229,10.84143657,6.326374072,6.11E-08,5.32E-06,8.134239097
SP140,11262,SP140 nuclear body protein,-1.631463475,6.678112824,-5.310451094,2.36E-06,6.87E-05,4.626954245
SYNRG,11276,synergin gamma,-2.079913748,6.660270679,-8.396181745,3.30E-11,3.10E-08,15.36273769
STK38,11329,serine/threonine kinase 38,-1.291192882,6.174394273,-4.071303667,0.000161637,0.00148246,0.609832388
EXOSC8,11340,exosome component 8,-1.487291137,5.278210191,-5.064186602,5.63E-06,0.000125953,3.798396005
TFEC,22797,transcription factor EC,-1.051677081,3.841398364,-3.318287844,0.001668819,0.008861108,-1.570466698
PHLDA1,22822,pleckstrin homology like domain family A member 1,1.239501598,7.797173341,2.768034434,0.007821682,0.027442964,-2.98092314
COBLL1,22837,cordon-bleu WH2 repeat protein like 1,-1.090161149,7.176124783,-2.504211967,0.015484946,0.045680018,-3.590945261
ADNP2,22850,ADNP homeobox 2,1.037346594,6.733700431,2.95484483,0.004710735,0.018992295,-2.521958901
FNDC3A,22862,fibronectin type III domain containing 3A,-1.837292582,8.156305333,-5.133268639,4.42E-06,0.00010494,4.029648216
RPH3A,22895,rabphilin 3A,1.193712212,6.025233647,2.538712496,0.014194389,0.04272847,-3.513822934
SACM1L,22908,SAC1 like phosphatidylinositide phosphatase,-1.03356264,7.074736607,-3.448588773,0.001132946,0.006629986,-1.212002973
DKK1,22943,dickkopf WNT signaling pathway inhibitor 1,2.019489649,6.43360446,3.092072182,0.003208153,0.014146542,-2.171443063
CNOT1,23019,CCR4-NOT transcription complex subunit 1,-1.496217737,7.62716035,-5.286973689,2.57E-06,7.28E-05,4.547481635
USP33,23032,ubiquitin specific peptidase 33,-1.161952473,6.273762728,-4.356084701,6.34E-05,0.000741855,1.494225569
XPO7,23039,exportin 7,-1.400580949,6.359075967,-4.910021266,9.62E-06,0.000187898,3.285968629
MYCBP2,23077,MYC binding protein 2,-1.347738887,6.658795519,-4.097786334,0.000148322,0.001392924,0.690858785
VWA8,23078,von Willebrand factor A domain containing 8,-1.135160958,5.97983519,-4.143172756,0.000127934,0.001251416,0.830324258
ZC3H13,23091,zinc finger CCCH-type containing 13,-1.543303769,6.128617503,-6.624619501,2.06E-08,2.50E-06,9.179128007
ZBTB43,23099,zinc finger and BTB domain containing 43,1.545381479,7.398726482,4.636956195,2.46E-05,0.000377094,2.392163207
ATP10B,23120,ATPase phospholipid transporting 10B (putative),1.619974318,5.73381003,3.342229038,0.001555086,0.008400324,-1.505255839
CLCC1,23155,chloride channel CLIC like 1,-1.115738044,7.801700425,-3.789908785,0.000396916,0.002973709,-0.234198067
TBC1D9,23158,TBC1 domain family member 9,-1.108799329,8.658814667,-2.9255414,0.005107014,0.02010753,-2.595367104
EFR3A,23167,EFR3 homolog A,-1.254989586,7.050443182,-4.472566273,4.29E-05,0.000556321,1.863743021
RGL1,23179,ral guanine nucleotide dissociation stimulator like 1,-1.07774506,5.447745069,-3.262615854,0.001964479,0.00985381,-1.720941968
LARP4B,23185,La ribonucleoprotein 4B,-1.653399538,6.234603037,-5.797288558,4.15E-07,2.13E-05,6.293716795
UBXN4,23190,UBX domain protein 4,-1.08554624,8.515902818,-4.245318914,9.15E-05,0.00097178,1.146900198
TBC1D1,23216,TBC1 domain family member 1,-1.106180211,7.846784186,-3.658955624,0.000596897,0.004099856,-0.61567879
SEL1L3,23231,SEL1L family member 3,-2.306603214,9.106568291,-5.710531356,5.67E-07,2.67E-05,5.994384214
TMEM131L,23240,transmembrane 131 like,-1.704466596,5.61379551,-4.285898109,8.00E-05,0.000885852,1.273668229
MGA,23269,MAX dimerization protein MGA,-1.376994701,4.990589161,-6.230719609,8.65E-08,6.67E-06,7.799968889
EHBP1,23301,EH domain binding protein 1,-1.147590773,5.348404977,-5.352525575,2.04E-06,6.29E-05,4.769615076
KIF13B,23303,kinesin family member 13B,-1.093316709,6.489762877,-4.3904744,5.65E-05,0.000681813,1.602877614
UBR2,23304,ubiquitin protein ligase E3 component n-recognin 2,-1.318692012,7.050083781,-4.526098078,3.58E-05,0.000492347,2.034956559
NEMP1,23306,nuclear envelope integral membrane protein 1,-1.226272186,5.78316775,-3.852178019,0.000326162,0.002561922,-0.050196582
DNAJC13,23317,DnaJ heat shock protein family (Hsp40) member C13,-1.049586765,6.217848741,-3.095106206,0.003180678,0.014064932,-2.163570198
TUT4,23318,terminal uridylyl transferase 4,-1.504206163,6.364715645,-5.925307499,2.62E-07,1.50E-05,6.736890785
SMCHD1,23347,structural maintenance of chromosomes flexible hinge domain containing 1,-1.223498593,7.685843753,-4.293416507,7.81E-05,0.000874359,1.297216448
UFL1,23376,UFM1 specific ligase 1,-1.682890906,6.948364882,-5.582591584,8.98E-07,3.64E-05,5.554628935
MED13L,23389,mediator complex subunit 13L,-1.028302467,8.261801263,-3.189031467,0.002431666,0.011395407,-1.917285422
DICER1,23405,dicer 1  ribonuclease III,-1.110523479,6.726607683,-3.974120065,0.00022114,0.001892616,0.314767395
SLC44A1,23446,solute carrier family 44 member 1,-1.409373257,7.961111812,-3.735121689,0.000471182,0.003400326,-0.394718043
SF3B3,23450,splicing factor 3b subunit 3,-1.287616872,7.376825049,-5.328078281,2.22E-06,6.62E-05,4.686685841
CBX5,23468,chromobox 5,-1.170780751,6.676459588,-3.811111126,0.00037131,0.002831468,-0.171730712
TMEM131,23505,transmembrane protein 131,-1.446750377,7.049172658,-4.870704969,1.10E-05,0.000201903,3.156141244
SRRM2,23524,serine/arginine repetitive matrix 2,-1.16247193,7.847912702,-3.816493995,0.000365067,0.002802024,-0.155841009
ORC3,23595,origin recognition complex subunit 3,-2.066034543,6.231305816,-7.739613901,3.53E-10,1.75E-07,13.08737235
OPN3,23596,opsin 3,-1.072653663,6.301210233,-4.468376942,4.35E-05,0.000561122,1.850380302
ZMYND8,23613,zinc finger MYND-type containing 8,-1.087131,6.256062438,-5.212584587,3.34E-06,8.73E-05,4.296315734
PPP1R15A,23645,protein phosphatase 1 regulatory subunit 15A,1.129726274,9.129058775,3.724406163,0.000487191,0.003483636,-0.425960208
LSM5,23658,LSM5 homolog U6 small nuclear RNA and mRNA degradation associated,1.191997907,6.208305362,3.788410423,0.000398788,0.002982987,-0.238605348
GABARAPL1,23710,GABA type A receptor associated protein like 1,1.252915884,7.182639643,3.153258222,0.002694888,0.012322107,-2.011668552
RASGRP3,25780,RAS guanyl releasing protein 3,-2.128399556,7.860306773,-4.210191196,0.000102715,0.001052888,1.037617637
MTO1,25821,mitochondrial tRNA translation optimization 1,-1.550786169,5.777368783,-6.465559286,3.68E-08,3.68E-06,8.621451054
HECTD1,25831,HECT domain E3 ubiquitin protein ligase 1,-1.286477229,6.762277496,-4.94124728,8.64E-06,0.000173348,3.389335496
PARM1,25849,prostate androgen-regulated mucin-like protein 1,-1.471065069,7.712888798,-3.580650153,0.000759341,0.004907554,-0.840098104
MPC2,25874,mitochondrial pyruvate carrier 2,1.013382529,7.900578362,4.165782647,0.000118819,0.001183445,0.900079804
RTTN,25914,rotatin,-1.484375181,4.628219297,-6.163277892,1.11E-07,8.12E-06,7.564621424
NOL11,25926,nucleolar protein 11,-1.045980993,4.611508917,-5.16712777,3.92E-06,9.87E-05,4.14333825
NSL1,25936,NSL1 component of MIS12 kinetochore complex,-1.063977548,6.879354884,-3.80236245,0.000381677,0.002889093,-0.197529701
SAMHD1,25939,SAM and HD domain containing deoxynucleoside triphosphate triphosphohydrolase 1,-2.007264807,6.831839033,-4.537595957,3.45E-05,0.000479833,2.071841378
TIPARP,25976,TCDD inducible poly(ADP-ribose) polymerase,1.141149167,9.134244089,3.449785778,0.001128882,0.00662578,-1.208670201
IBTK,25998,inhibitor of Bruton tyrosine kinase,-1.386010786,6.669557566,-4.929528872,8.99E-06,0.000177071,3.3505182
ZZZ3,26009,zinc finger ZZ-type containing 3,-1.314296684,6.170535934,-5.792217157,4.23E-07,2.13E-05,6.276195908
OSBPL3,26031,oxysterol binding protein like 3,-1.845302507,5.697609698,-5.262463099,2.80E-06,7.75E-05,4.464614659
LTN1,26046,listerin E3 ubiquitin protein ligase 1,-1.288317423,5.966719437,-4.472911912,4.29E-05,0.000556321,1.864845743
HERC4,26091,HECT and RLD domain containing E3 ubiquitin protein ligase 4,-1.111845219,5.357791023,-4.521165477,3.64E-05,0.000492398,2.019144807
KIFBP,26128,kinesin family binding protein,-1.305674515,6.280627988,-4.830437359,1.27E-05,0.000226746,3.023552182
PTPN22,26191,protein tyrosine phosphatase non-receptor type 22,-2.04848776,4.919870307,-4.960609718,8.07E-06,0.000165885,3.453541554
FBXL4,26235,F-box and leucine rich repeat protein 4,-1.351588034,5.468572506,-5.248474936,2.94E-06,8.05E-05,4.417370537
HIBCH,26275,3-hydroxyisobutyryl-CoA hydrolase,-1.47581775,4.649656883,-4.84307456,1.21E-05,0.000219572,3.065120683
ARFGAP3,26286,ADP ribosylation factor GTPase activating protein 3,-1.067708771,7.56321107,-4.304430916,7.53E-05,0.000849087,1.331748518
